"key","KZ","RU","EN"
"KZ","Қазақша","Казахский","Kazakh"
"RU","Орысша","Русский","Russian"
"EN","Ағылшынша","Английский","English"
"first_last_name","Аты Тегі","Имя Фамилия","First Last Name"
"contacts","Байланыстар","Контакты","Contacts"
"blog","Блог","Блог","Blog"
"projects","Проекттер","Проекты","Projects"
"featured_projects","Таңдаулы проекттер","Избранные проекты","Featured Projects"
"articles","Мақалалар","Статьи","Articles"
"recent_posts","Соңғы жазбалар","Последние посты","Recent Posts"
